TIME START: 1478652969.842
t 	1478652970.061	a		0.00
t 	1478652970.083	a		4.00
t 	1478652970.112	a		8.00
t 	1478652970.144	a		12.00
t 	1478652970.175	a		16.00
t 	1478652970.213	a		20.00
t 	1478652970.237	a		24.00
t 	1478652970.27	a		28.00
t 	1478652970.299	a		32.00
t 	1478652970.33	a		36.00
t 	1478652970.361	a		40.00
t 	1478652970.392	a		44.00
t 	1478652970.422	a		48.00
t 	1478652970.453	a		52.00
t 	1478652970.485	a		56.00
t 	1478652970.515	a		60.00
t 	1478652970.547	a		64.00
t 	1478652970.576	a		68.00
t 	1478652970.608	a		72.00
t 	1478652970.638	a		76.00
t 	1478652970.669	a		80.00
t 	1478652970.701	a		84.00
t 	1478652970.732	a		88.00
t 	1478652970.763	a		92.00
t 	1478652970.794	a		96.00
t 	1478652970.825	a		100.00
t 	1478652970.857	a		104.00
t 	1478652970.886	a		108.00
t 	1478652970.919	a		112.00
t 	1478652970.948	a		116.00
t 	1478652970.979	a		120.00
t 	1478652971.013	a		124.00
t 	1478652971.041	a		127.00
t 	1478652971.075	a		130.00
t 	1478652971.103	a		133.00
t 	1478652971.134	a		136.00
t 	1478652971.165	a		139.00
t 	1478652971.196	a		142.00
t 	1478652971.226	a		145.00
t 	1478652971.261	a		148.00
t 	1478652971.289	a		151.00
t 	1478652971.321	a		154.00
t 	1478652971.351	a		157.00
t 	1478652971.381	a		160.00
t 	1478652971.412	a		163.00
t 	1478652971.444	a		166.00
t 	1478652971.474	a		169.00
t 	1478652971.506	a		172.00
t 	1478652971.537	a		175.00
t 	1478652971.567	a		178.00
t 	1478652971.598	a		182.00
t 	1478652971.629	a		186.00
t 	1478652971.66	a		190.00
t 	1478652971.692	a		194.00
t 	1478652971.722	a		198.00
t 	1478652971.753	a		202.00
t 	1478652971.788	a		206.00
t 	1478652971.815	a		210.00
t 	1478652971.845	a		214.00
t 	1478652971.877	a		218.00
t 	1478652971.907	a		222.00
t 	1478652971.938	a		226.00
t 	1478652971.97	a		230.00
t 	1478652972	a		234.00
t 	1478652972.034	a		238.00
t 	1478652972.062	a		242.00
t 	1478652972.093	a		246.00
t 	1478652972.124	a		250.00
t 	1478652972.155	a		254.00
t 	1478652972.186	a		258.00
t 	1478652972.223	a		262.00
t 	1478652972.247	a		266.00
t 	1478652972.279	a		270.00
t 	1478652972.31	a		274.00
t 	1478652972.34	a		278.00
t 	1478652972.372	a		282.00
t 	1478652972.404	a		286.00
t 	1478652972.433	a		290.00
t 	1478652972.464	a		294.00
t 	1478652972.496	a		298.00
t 	1478652972.526	a		302.00
t 	1478652972.557	a		306.00
t 	1478652972.589	a		310.00
t 	1478652972.619	a		314.00
t 	1478652972.65	a		318.00
t 	1478652972.681	a		322.00
t 	1478652972.712	a		326.00
t 	1478652972.743	a		330.00
t 	1478652972.773	a		334.00
t 	1478652972.804	a		338.00
t 	1478652972.836	a		342.00
t 	1478652972.866	a		346.00
t 	1478652972.898	a		350.00
t 	1478652972.927	a		354.00
t 	1478652972.968	a		358.00
t 	1478652972.978	a		0.00
t 	1478652973.033	a		4.00
t 	1478652973.072	a		8.00
t 	1478652973.095	a		12.00
t 	1478652973.126	a		16.00
t 	1478652973.157	a		20.00
t 	1478652973.188	a		24.00
t 	1478652973.221	a		28.00
t 	1478652973.25	a		32.00
t 	1478652973.28	a		36.00
t 	1478652973.311	a		40.00
t 	1478652973.342	a		44.00
t 	1478652973.373	a		48.00
t 	1478652973.404	a		52.00
t 	1478652973.434	a		56.00
t 	1478652973.466	a		60.00
t 	1478652973.496	a		64.00
t 	1478652973.527	a		68.00
t 	1478652973.559	a		72.00
t 	1478652973.589	a		76.00
t 	1478652973.621	a		80.00
t 	1478652973.651	a		84.00
t 	1478652973.686	a		88.00
t 	1478652973.712	a		92.00
t 	1478652973.743	a		96.00
t 	1478652973.776	a		100.00
t 	1478652973.806	a		104.00
t 	1478652973.837	a		108.00
t 	1478652973.867	a		112.00
t 	1478652973.899	a		116.00
t 	1478652973.93	a		120.00
t 	1478652973.961	a		124.00
t 	1478652973.992	a		127.00
t 	1478652974.024	a		130.00
t 	1478652974.053	a		133.00
t 	1478652974.085	a		136.00
t 	1478652974.116	a		139.00
t 	1478652974.154	a		142.00
t 	1478652974.178	a		145.00
t 	1478652974.212	a		148.00
t 	1478652974.239	a		151.00
t 	1478652974.27	a		154.00
t 	1478652974.305	a		157.00
t 	1478652974.332	a		160.00
t 	1478652974.363	a		163.00
t 	1478652974.395	a		166.00
t 	1478652974.425	a		169.00
t 	1478652974.456	a		172.00
t 	1478652974.487	a		175.00
t 	1478652974.518	a		178.00
t 	1478652974.552	a		182.00
t 	1478652974.581	a		186.00
t 	1478652974.611	a		190.00
t 	1478652974.642	a		194.00
t 	1478652974.672	a		198.00
t 	1478652974.705	a		202.00
t 	1478652974.735	a		206.00
t 	1478652974.765	a		210.00
t 	1478652974.796	a		214.00
t 	1478652974.826	a		218.00
t 	1478652974.858	a		222.00
t 	1478652974.889	a		226.00
t 	1478652974.921	a		230.00
t 	1478652974.951	a		234.00
t 	1478652974.982	a		238.00
t 	1478652975.012	a		242.00
t 	1478652975.043	a		246.00
t 	1478652975.075	a		250.00
t 	1478652975.105	a		254.00
t 	1478652975.136	a		258.00
t 	1478652975.168	a		262.00
t 	1478652975.198	a		266.00
t 	1478652975.229	a		270.00
t 	1478652975.259	a		274.00
t 	1478652975.291	a		278.00
t 	1478652975.322	a		282.00
t 	1478652975.352	a		286.00
t 	1478652975.388	a		290.00
t 	1478652975.414	a		294.00
t 	1478652975.445	a		298.00
t 	1478652975.477	a		302.00
t 	1478652975.508	a		306.00
t 	1478652975.539	a		310.00
t 	1478652975.569	a		314.00
t 	1478652975.601	a		318.00
t 	1478652975.631	a		322.00
t 	1478652975.662	a		326.00
t 	1478652975.692	a		330.00
t 	1478652975.724	a		334.00
t 	1478652975.755	a		338.00
t 	1478652975.785	a		342.00
t 	1478652975.817	a		346.00
t 	1478652975.848	a		350.00
t 	1478652975.878	a		354.00
t 	1478652975.918	a		358.00
t 	1478652975.92	a		0.00
t 	1478652975.984	a		4.00
t 	1478652976.014	a		8.00
t 	1478652976.045	a		12.00
t 	1478652976.076	a		16.00
t 	1478652976.108	a		20.00
t 	1478652976.138	a		24.00
t 	1478652976.174	a		28.00
