TIME START : 1478652959.99
t 	1478652961.65	c 	1269.531
t 	1478652961.66	c 	97.656
t 	1478652961.67	c 	1611.328
t 	1478652961.68	c 	48.828
t 	1478652961.69	c 	-48.828
t 	1478652961.7	c 	-97.656
t 	1478652961.71	c 	48.828
t 	1478652961.72	c 	1220.703
t 	1478652961.74	c 	48.828
t 	1478652961.75	c 	1513.672
t 	1478652961.76	c 	48.828
t 	1478652961.77	c 	0.000
t 	1478652961.78	c 	0.000
t 	1478652961.79	c 	1318.359
t 	1478652961.8	c 	48.828
t 	1478652961.81	c 	1562.500
t 	1478652961.82	c 	0.000
t 	1478652961.83	c 	0.000
t 	1478652961.84	c 	48.828
t 	1478652961.85	c 	48.828
t 	1478652961.86	c 	927.734
t 	1478652961.88	c 	146.484
t 	1478652961.89	c 	1562.500
t 	1478652961.9	c 	0.000
t 	1478652961.91	c 	97.656
t 	1478652961.92	c 	0.000
t 	1478652961.93	c 	976.562
t 	1478652961.94	c 	48.828
t 	1478652961.95	c 	1611.328
t 	1478652961.96	c 	0.000
t 	1478652961.97	c 	48.828
t 	1478652961.98	c 	48.828
t 	1478652961.99	c 	0.000
t 	1478652962.0	c 	537.109
t 	1478652962.02	c 	48.828
t 	1478652962.02	c 	1562.500
t 	1478652962.04	c 	97.656
t 	1478652962.05	c 	0.000
t 	1478652962.06	c 	48.828
t 	1478652962.07	c 	634.766
t 	1478652962.08	c 	48.828
t 	1478652962.09	c 	1562.500
t 	1478652962.1	c 	0.000
t 	1478652962.11	c 	48.828
t 	1478652962.12	c 	0.000
t 	1478652962.13	c 	0.000
t 	1478652962.14	c 	-97.656
t 	1478652962.15	c 	48.828
t 	1478652962.16	c 	1562.500
t 	1478652962.18	c 	0.000
t 	1478652962.19	c 	0.000
t 	1478652962.2	c 	48.828
t 	1478652962.21	c 	48.828
t 	1478652962.22	c 	0.000
t 	1478652962.23	c 	1562.500
t 	1478652962.24	c 	48.828
t 	1478652962.25	c 	-48.828
t 	1478652962.26	c 	48.828
t 	1478652962.27	c 	48.828
t 	1478652962.28	c 	0.000
t 	1478652962.29	c 	48.828
t 	1478652962.3	c 	1464.844
t 	1478652962.32	c 	0.000
t 	1478652962.32	c 	927.734
t 	1478652962.34	c 	0.000
t 	1478652962.35	c 	48.828
t 	1478652962.36	c 	0.000
t 	1478652962.37	c 	1464.844
t 	1478652962.38	c 	48.828
t 	1478652962.39	c 	1074.219
t 	1478652962.4	c 	0.000
t 	1478652962.41	c 	0.000
t 	1478652962.42	c 	195.313
t 	1478652962.44	c 	48.828
t 	1478652962.45	c 	1269.531
t 	1478652962.46	c 	97.656
t 	1478652962.47	c 	1513.672
t 	1478652962.48	c 	0.000
t 	1478652962.49	c 	48.828
t 	1478652962.5	c 	0.000
t 	1478652962.51	c 	1318.359
t 	1478652962.52	c 	0.000
t 	1478652962.53	c 	1611.328
t 	1478652962.54	c 	0.000
t 	1478652962.55	c 	0.000
t 	1478652962.56	c 	-48.828
t 	1478652962.57	c 	0.000
t 	1478652962.58	c 	585.937
t 	1478652962.6	c 	-48.828
t 	1478652962.61	c 	1562.500
t 	1478652962.62	c 	48.828
t 	1478652962.63	c 	0.000
t 	1478652962.64	c 	48.828
t 	1478652962.65	c 	781.250
t 	1478652962.66	c 	48.828
t 	1478652962.67	c 	1562.500
t 	1478652962.68	c 	0.000
t 	1478652962.69	c 	48.828
t 	1478652962.7	c 	146.484
t 	1478652962.71	c 	0.000
t 	1478652962.72	c 	439.453
t 	1478652962.74	c 	0.000
t 	1478652962.74	c 	1611.328
t 	1478652962.76	c 	-48.828
t 	1478652962.77	c 	0.000
t 	1478652962.78	c 	48.828
t 	1478652962.79	c 	439.453
t 	1478652962.8	c 	0.000
t 	1478652962.81	c 	1611.328
t 	1478652962.82	c 	48.828
t 	1478652962.83	c 	0.000
t 	1478652962.84	c 	48.828
t 	1478652962.85	c 	-97.656
t 	1478652962.86	c 	-48.828
t 	1478652962.87	c 	0.000
t 	1478652962.88	c 	1513.672
